Timestamp	Places_from_VLOC	Labels_in_tile	Image	Tileset	Key A	Key B	Key C	Key D
2023-07-09 06:45:35		Alexander Heights, Ascot, Ashby, Ashfield, Aveley, Balcatta, Balga, Ballajura, Banksia Grove, Bassendean, Bayswater, Bedford, Beechboro, Beldon, Belhus, Bennett Brook, Bennett Springs, Brabham, Bullsbrook-West, Burns Beach, Carine, Carramar, Caversham, City Beach, Clarkson, Connolly, Craigie, Cullacabardee, Currambine, Daglish, Darch, Dayton, Dianella, Doubleview, Duncraig, Eden Hill, Edgewater, Ellen Brook, Ellenbrook, Embleton, Floreat, Geographe Bay, Girrawheen, Glendalough, Gnangara, Greenwood, Guildford, Gwelup, Hamersley, Hazelmere, Heathridge, Helena River, Henley Brook, Herdsman, High Wycombe, Highgate, Hillarys, Hocking, Iluka, Inglewood, Innaloo, Jandabup, Jane Brook, Jolimont, Joondalup, Joondanna, Kallaroo, Karrinyup, Kiara, Kingsley, Kinross, Koondoola, Lake Joondalup, Lake Monger, Landsdale, Leederville, Lexia, Lockridge, Madeley, Malaga, Marangaroo, Mariginiup, Mariginiup Lake, Marmion, Maylands, Melaleuca, Menora, Merriwa, Middle Swan, Midland, Mindarie, Mirrabooka, Morley, Mount Hawthorn, Mount Lawley, Mullaloo, Neerabup, Nollamara, Noranda, North Beach, North Perth, Ocean Reef, Osborne Park, Padbury, Pearsall, Perth Airport, Pinjar, Quinns Rocks, Redcliffe, Sawpit Gully, Scarborough, Sinagra, Sorrento, South Guildford, Stirling, Susannah Brook, Swan River, Tamala Park, Tapping, The Vines, Trigg, Tuart Hill, Viveash, Wangara, Wanneroo, Warwick, Watermans Bay, Wembley, Wembley Downs, West Perth, West Swan, Westminster, Whiteman, Woodbridge, Woodlands, Woodvale, Yokine		0X12014	0X14	-0X2DB60000	0X25F0000	0X2000400
2023-07-09 06:45:35		Applecross, Ardross, Attadale, Atwell, Aubin Grove, Bateman, Beaconsfield, Beckenham, Beeliar, Beenyup Brook, Belmont, Bentley, Bertram, Bibra Lake, Bickley Brook, Bicton, Booragoon, Brookdale, Bull Creek, Byford, Calista, Camillo, Canning River, Canning Vale, Cannington, Cardup Brook, Carlisle, Casuarina, Claremont, Cloverdale, Cockburn Central, Cockburn Sound, Como, Coogee, Coolbellup, Cottesloe, Crawley, Dalkeith, Darling Downs, East Fremantle, East Perth, East Victoria Park, Ferndale, Forrestdale, Forrestdale Lake, Fremantle, Garden Island, Geographe Bay, Gosnells, Hamilton Hill, Hammond Park, Harrisdale, Haynes, Henderson, Hilbert, Hope Valley, Huntingdale, Jandakot, Karawara, Kardinya, Karrakatta, Kensington, Kenwick, Kings Park, Kwinana Beach, Kwinana Town Centre, Lake Coogee, Langford, Leeming, Lynwood, Maddington, Manning, Medina, Melville, Mosman Park, Mount Claremont, Munster, Murdoch, Myaree, Naval Base, Nedlands, North Coogee, North Fremantle, North Lake, O'Connor, Oakford, Orelia, Palmyra, Parkwood, Parmelia, Peppermint Grove, Perth, Piara Waters, Postans, Queens Park, Riverton, Rivervale, Rossmoyne, Samson, Seville Grove, Shenton Park, South Fremantle, South Lake, South Perth, Southern River, Southern River, Spearwood, Subiaco, Success, Swan River, Swanbourne, The Spectacles, Thomsons Lake, Thornlie, Treeby, Victoria Park, Wandi, Waterford, Wattle Grove, Wattleup, Welshpool, Willagee, Willetton, Wilson, Winthrop, Woodman Channel, Wungong, Wungong Brook, Yangebup, Yangebup Lake		0X12014	0X14	-0X2DB60000	0X2600000	0X2000400
2023-07-09 06:45:36		1, 12, 13, 204, 5, 6, 61, 64, 65, 7, 71,  , Alfred Rd, Beach St, Beatrice Rd, Bibra Dr, Birdwood Pde, Broadway, Brockway Rd, Canning Highway, Carrington St, Cliff St, Clontarf Rd, Cockburn Rd, Curtin Ave, Davies Rd, Derby Rd, Doolette St, Douro Rd, East St, Elder Pl, Eric St, Farrington Rd, Finnerty St, Forrest Rd, Gugeri St, Hackett Dr, Hamilton Rd, Hampton Rd, High St, James St, Jutland Pde, Kings Park Rd, Kintail Rd, Kitchener Rd, Leach Highway, Leura Ave, Macleod Rd, Marine Pde, Marine Tce, Market St, Marmion St, Montgomery Ave, Mounts Bay Rd, Nash St, Nicholson Rd, North Lake Rd, North St, Ord St, Parry St, Petra St, Phillimore St, Pier St, Point Walter Rd, Port Beach Rd, Preston Point Rd, Queen Victoria St, Queenslea Dr, Railway Rd, Riseley St, Riverside Rd, Rochdale Rd, Rockingham Rd, Rokeby Rd, Rottnest Express, Selby St, Servetus St, Shenton Rd, South St, South Tce, Spearwood Ave, Stephenson Ave, Stirling Bridge, Stirling Highway, Stirling Rd, Stock Rd, The Avenue, Thomas St, Tydeman Rd, Vale St, Victoria Ave, Walter Pl, Wauhop Rd, West Coast Highway, Winterfold Rd, Winthrop Ave		0X142014	0X14	-0X5B750000	0X4C00001	0X2005000
2023-07-09 06:45:36		2, 204, 3, 60, 61, 64, 65, 71, 72, 75, 76, 81, 82, 83,  , All Saints Way, Anzac Rd, Arkana Rd, Bagot Rd, Balcatta Rd, Balga Ave, Barnes St, Beach Rd, Bishop Hale Way, Brady St, Brighton Rd, Brockway Rd, Brookdale Rd, Brookdale St, Cambridge St, Cedric St, Centro Ave, Challenger Pde, Cockman Rd, Davallia Rd, Duffy Rd, Duke St, Durston Rd, Elliott Rd, Empire Ave, Erindale Rd, Ewen St, Flynn St, Frobisher St, Gibson Ave, Girrawheen Ave, Gnangara Rd, Grantham St, Green St, Hale Rd, Harborne St, Hartman Dr, Hartman Dr, Hay St, Hector St W, Hepburn Av, Highclere Bvd, Howtree Pl, Jeanes Rd, Jon Sanders Drive, Karrinyup Rd, King Edward Rd, Kings Park Rd, Kingsway, Lake Monger Dr, Main St, Main St, Marangaroo Dr, Marmion Av, Mitchell Fwy, Morley Dr, Nollamara Ave, North Beach Rd, Oceanic Dr, Odin Rd, Okely Rd, Pearson St, Powis St, Princess Rd, Railway Rd, Reid Highway, Roberts Rd, Rottnest Fast Ferries, Sackville Tce, Scarborough Beach Rd, Selby St, Selby St N, Stephenson Ave, The Boulevard, Thomas St, Underwood Ave, Vincent St, Wanneroo Rd, Warwick Rd, Weaponess Rd, Wellington St, West Coast Dr, West Coast Highway, Whitfords Av		0X142014	0X14	-0X5B750000	0X4BF0001	0X2005000
2023-07-09 06:45:36		1, 13, 2, 26, 3, 30, 4, 5, 51, 53, 55, 6, 65, 7, 8, 94,  , Abernethy Rd, Adelaide Tce, Airport Dr, Albany Highway, Astley St, Austin Ave, Bannister Rd, Barbican St E, Barrack St, Beaufort St, Belmont Ave, Belmont Rd, Bennett St, Berrigan Dr, Berwick St, Bickley Rd, Brook Rd, Brook St, Bull Creek Rd, Burrendah Bvd, Burslem Dr, Canning Beach Rd, Canning Highway, Carden Dr, Challenger Ave, Chamberlain St, Chapman Rd, Clydesdale St, Corbel St, Corfield St, Dean Rd, Djarlgarra Bridge, Dorothy St, Douglas Ave, Elderfield Rd, Epsom Ave, Eucalyptus Bvd, Fairbrother St, Farrington Rd, Fern Rd, Fleming Ave, Forbes Rd, Fremantle Rd, Gabriel St, Galaxy Way, Garden St, Gosnells Rd W, Great Eastern Hwy, Griffin Cr, Grove Rd, Hale Rd, Hardey Rd, Hawke Pass, Hayman Rd, Hicks St, High Rd, Hill St, Hill View Tce, Holmes St, Hope Ave, Horrie Miller Dr, Karel Ave, Kelvin Rd, Kent St, Kenwick Link, Kewdale Rd, Kings Park Rd, Kintail Rd, Kwinana Freeway, Labouchere Rd, Lake Rd, Lawson St, Leach Highway, Lewis Rd, Logistics Bvd, Lord St, Malcolm St, Manning Rd, Marjorie Ave, Marquis St, Metcalfe Rd, Mill Point Rd, Miller St, Mills Rd W, Mitchell Fwy, Moreau Mews, Mount Henry Bridge, Mount Henry Rd, Mounts Bay Rd, Murdoch Dr, Nicholson Rd, Oats St, Olga Rd, Orpington St, Orrong Rd, Paltridge Rd, Parry Ave, Paterson St, Perth Causeway Bridge, Plain St, Railway Ave, Ranford Rd, Riley Rd, Riverside Dr, Riverton Dr E, Riverton Dr N, Riverton Dr W, Roberts Rd, Roe Highway, Rottnest Express, Royal St, Sevenoaks St, Shelley Bridge, Shepperton Rd, South St, South Tce, Southern River Rd, Spencer Rd, Spring Rd, St Georges Tce, Station St, The Esplanade, Tonkin Hwy, Transperth, Tudor Ave N, Vahland Ave, Verna St, Wanaping Rd, Warton Rd, Way Rd, Webb St, Wellington St, Welshpool Rd, Welshpool Rd E, Wharf St, Wilfred Rd, Willeri Dr, William St, Wittenoom St, Wyong Rd, Yale Rd		0X142014	0X14	-0X5B350000	0X4C00001	0X2005000
2023-07-09 06:45:36		1, 2, 3, 4, 41, 50, 51, 52, 53, 55, 56, 60, 61, 65, 72, 75, 76, 8, 94, 95,  , Abernethy Rd, Airport Dr, Alexander Dr, Altone Rd, Angove St, Anzac Rd, Balga Ave, Beach Rd, Beaufort St, Beechboro Rd N, Belgravia St, Bellefin Dr, Benara Rd, Bennett St, Boud Ave, Bourke St, Boyare Ave, Brook St, Broun Av, Bulwer St, Bushmead Rd, Camboon Rd, Cambridge St, Central Ave, Charles St, Collier Rd, Crimea St, Daviot Rd, Dianella Dr, Drumpellier Dr, Dunreath Dr, East Pde, East St, Epsom Ave, Fairbrother St, Fauntleroy Ave, Fitzgerald St, Flinders St, Garratt Rd, Girrawheen Ave, Grand Promenade, Grandstand Rd, Great Eastern Highway Bypass, Great Eastern Hwy, Great Northern Highway, Green St, Grogan Rd, Guildford Rd, Hamer Pde, Helena Valley Rd, Hepburn Av, Highclere Bvd, Horrie Miller Dr, James St, Johnson St, Kalamunda Rd, Kelvin St, Kingsway, Leederville Pde, Loftus St, London St, Longroyd St, Lord St, Maida Vale Rd, Malaga Dr, Marangaroo Dr, Marshall Rd, Meadow St, Mirrabooka Ave, Mitchell Fwy, Morley Dr, Morrison Rd, Newburn Rd, Newcastle St, Newton St, Nollamara Ave, North St, Northbridge Tunl, Northwood Dr, Orrong Rd, Oxford St, Peninsula Rd, Percy Rd, Plain St, Queen St, Railway Pde, Redcliffe Bridge, Reid Highway, Resolution Dr, Roe Highway, Roe St, Ross Dr, Scarborough Beach Rd, Second St, Snook Rd, Stanton Rd, Stone St, Stoneham St, Sugarbird Lady Rd, Swan St, Swan View Tce, Thomas St, Tonkin Hwy, Toodyay Rd, Victoria St, Vincent St, Walcott St, Wall St, Walter Rd E, Walter Rd W, Wanneroo Rd, Water St, Wellington St, West Rd, West Swan Rd, Whatley Cr, Whiteman Bridge, Widgee Rd, William St, Wiluna St, Windan Bridge, Wordsworth Ave, Yirrigan Dr, Youle-Dean Rd		0X142014	0X14	-0X5B350000	0X4BF0001	0X2005000
2023-07-09 06:45:36				0X162014	0X14	-0X5B750000	0X4C00001	0X2005800
2023-07-09 06:45:36				0X162014	0X14	-0X5B750000	0X4BF0001	0X2005800
2023-07-09 06:45:54				0X162014	0X14	-0X5B350000	0X4C00001	0X2005800
2023-07-09 06:45:54				0X162014	0X14	-0X5B350000	0X4BF0001	0X2005800
